<soft> Caption: Microsoft Visual C++ 2010 Redistributable - x86 10.0.40219 ; InstallDate: 20191108</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022.0 False ; InstallDate: 20190217</soft>
<soft> Caption: vs_BlendMsi ; InstallDate: 20190215</soft>
<soft> Caption: Windows SDK for Windows Store Apps Contracts ; InstallDate: 20190507</soft>
<soft> Caption: Windows SDK Signing Tools ; InstallDate: 20190507</soft>
<soft> Caption: Windows IoT Extension SDK ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005 False ; InstallDate: 20190217</soft>
<soft> Caption: Windows SDK EULA ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005 False ; InstallDate: 20190217</soft>
<soft> Caption: SQL Server 2017 Shared Management Objects Extensions ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft SQL Server 2017 Setup (English) ; InstallDate: 20191111</soft>
<soft> Caption: IntelliTraceProfilerProxy ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022.0 False ; InstallDate: 20190217</soft>
<soft> Caption: vs_clickoncebootstrappermsires ; InstallDate: 20190215</soft>
<soft> Caption: vs_minshellmsires ; InstallDate: 20190215</soft>
<soft> Caption: vs_FileTracker_Singleton ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft .NET Framework 4.8 Targeting Pack ; InstallDate: 20190507</soft>
<soft> Caption: Node.js ; InstallDate: 20190306</soft>
<soft> Caption: Windows SDK ARM Desktop Tools ; InstallDate: 20190507</soft>
<soft> Caption: vs_tipsmsi ; InstallDate: 20190215</soft>
<soft> Caption: Universal CRT Headers Libraries and Sources ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022.218 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.50727 False ; InstallDate: 20190217</soft>
<soft> Caption: SQL Server Integration Services 2016 ; InstallDate: 20190404</soft>
<soft> Caption: Windows Mobile Extension SDK Contracts ; InstallDate: 20190507</soft>
<soft> Caption: Пакет многоплатформенного нацеливания Microsoft .NET Framework 4.5.2 (Русский) ; InstallDate: 20190404</soft>
<soft> Caption: WinRT Intellisense PPI - Other Languages ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005 ; InstallDate: 20190404</soft>
<soft> Caption: Windows SDK for Windows Store Apps Metadata ; InstallDate: 20190507</soft>
<soft> Caption: WinAppDeploy ; InstallDate: 20190326</soft>
<soft> Caption: WinRT Intellisense Desktop - en-us ; InstallDate: 20190507</soft>
<soft> Caption: SQL Server 2017 DMF ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft SQL Server 2012 Analysis Management Objects  ; InstallDate: 20190404</soft>
<soft> Caption: Universal CRT Tools x64 ; InstallDate: 20190507</soft>
<soft> Caption: vs_minshellmsi ; InstallDate: 20190404</soft>
<soft> Caption: Universal CRT Extension SDK ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4048 False ; InstallDate: 20190217</soft>
<soft> Caption: Windows SDK DirectX x86 Remote ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Visual Studio Services Hub ; InstallDate: 20190404</soft>
<soft> Caption: Windows SDK for Windows Store Apps Contracts ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727 False ; InstallDate: 20190217</soft>
<soft> Caption: WinRT Intellisense IoT - en-us ; InstallDate: 20190326</soft>
<soft> Caption: Файлы поддержки программы установки Microsoft SQL Server 2008  ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.60610 False ; InstallDate: 20190217</soft>
<soft> Caption: Windows IoT Extension SDK Contracts ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft .NET Core Runtime - 2.1.11 (x64) ; InstallDate: 20190516</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x86 8.0.59193 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft ASP.NET Core Module for IIS Express ; InstallDate: 20190215</soft>
<soft> Caption: Autodesk Civil View for 3ds Max 2019 64-bit ; InstallDate: 20190214</soft>
<soft> Caption: Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40649 False ; InstallDate: 20190217</soft>
<soft> Caption: Windows SDK Desktop Tools x86 ; InstallDate: 20190326</soft>
<soft> Caption: SDK ARM Redistributables ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x86 8.0.57103 False ; InstallDate: 20190217</soft>
<soft> Caption: SQL Server 2017 Shared Management Objects ; InstallDate: 20190404</soft>
<soft> Caption: Intel® Optane™ Pinning Explorer Extensions ; InstallDate: 20190531</soft>
<soft> Caption: Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.60610 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664 ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660 False ; InstallDate: 20190217</soft>
<soft> Caption: vs_communitymsires ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual Basic for Applications 7.1 (x64) ; InstallDate: 20200301</soft>
<soft> Caption: Microsoft Visual Studio Tools for Applications 2015 Language Support Finalizer ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft SQL Server 2014 Express LocalDB  ; InstallDate: 20190214</soft>
<soft> Caption: Microsoft .NET Core Host - 2.1.7 (x64) ; InstallDate: 20190215</soft>
<soft> Caption: vs_Graphics_Singletonx64 ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x64 8.0.57102 False ; InstallDate: 20190217</soft>
<soft> Caption: WinRT Intellisense UAP - Other Languages ; InstallDate: 20190326</soft>
